glob_id,external_id,similarity_score,method,overlap
GLOB_877A,GLOB_GAVOC_02461,100.0,1,False
GLOB_877B,GLOB_GAVOC_02461,88.23529411764706,1,False
GLOB_489,GLOB_GAVOC_02475,100.0,1,False
GLOB_E_6,GLOB_GAVOC_02477,95.23809523809523,1,False
GLOB2_1712,GLOB_GAVOC_02486,100.0,1,False
GLOB2_1475,GLOB_GAVOC_02502,100.0,1,False
GLOB2_1475_HUM_1,GLOB_GAVOC_02502,100.0,1,False
GLOB2_1653,GLOB_GAVOC_02503,100.0,1,False
GLOB2_1475,GLOB_GAVOC_02504,100.0,no_coordinates,False
GLOB2_1475_HUM_1,GLOB_GAVOC_02504,100.0,no_coordinates,False
GLOB_548,GLOB_GAVOC_02507,100.0,1,False
GLOB_BN_14,GLOB_GAVOC_02508,100.0,1,False
GLOB2_1880,GLOB_GAVOC_02515,100.0,1,False
GLOB_40,GLOB_GAVOC_02521,100.0,1,False
GLOB_E_7_HUM_2,GLOB_GAVOC_02556,92.0,1,False
GLOB_567,GLOB_GAVOC_02557,92.3076923076923,1,False
GLOB_599,GLOB_GAVOC_02559,100.0,1,False
GLOB_599_GEO_1,GLOB_GAVOC_02559,100.0,1,False
GLOB_599_HUM_1,GLOB_GAVOC_02559,100.0,1,False
GLOB_599_HUM_2,GLOB_GAVOC_02559,100.0,1,False
GLOB_489,GLOB_GAVOC_02586,100.0,1,False
GLOB_489,GLOB_GAVOC_02587,100.0,1,False
GLOB_489,GLOB_GAVOC_02588,100.0,1,False
NR_28,GLOB_GAVOC_02593,100.0,1,False
NR_28,GLOB_GAVOC_02595,87.5,1,False
GLOB_312,GLOB_GAVOC_02603,100.0,1,False
GLOB_43,GLOB_GAVOC_02607,100.0,1,False
GLOB_43,GLOB_GAVOC_02610,100.0,1,False
GLOB2_1050_GEO_2,GLOB_GAVOC_02622,82.35294117647058,1,True
GLOB2_1050,GLOB_GAVOC_02624,100.0,1,False
